# 常用英语单词 10000 个(Google 万亿语料词频排序;音标/释义来自 ECDICT)
# 格式: 序号	单词	音标	中文释义
713	log	lɒg	n. 记录, 圆木, 日志, 计程仪；vt. 伐木, 切, 航行；vi. 伐木
714	safety	'seifti	n. 安全, 保险, 平安, 保安设备；vt. 保护, 防护
715	friends		n. 老友记（剧集）
716	sure	ʃuә	a. 确信, 必然的, 必定的；adv. 当然, 确实地, 无疑地
717	faq		中等品, 码头交货(价格)
718	trade	treid	n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风；vi. 进行交易, 做买卖, 经商, 对换, 购物；vt. 用...进行交换
719	edition	i'diʃәn	n. 版本, 版, 翻版
720	cars		abbr. 中美洲研究站（Central America Research Station）；计算机化自动额定值系统（computerized automatic rating system）；汽车收据结账证书（Certificates for Automobile Receivables）
721	messages		n. 信息, 留言板（message的复数形式）
722	marketing	'mɑ:kitiŋ	n. 行销, 买卖；[经] 推销, 在市场买卖, 销售
723	tell	tel	vt. 告诉, 说, 吩咐, 断定, 知道；vi. 讲述, 泄密, 告发, 表明
724	further	'fә:ðә	a. 更远的, 此外的, 更多的；vt. 促进, 增进, 助长；adv. 更进一步地, 更远地, 此外
725	updated	ʌp'deitid	a. 更新的；现代化的
726	association	ә.sәuʃә'eiʃәn	n. 协会
727	able	'eibl	a. 能干的, 能够的
728	having	'hæviŋ	n. 财产, 所有物
729	provides	prəˈvaidz	v. 提供, 供给, 供应( provide的第三人称单数 ); 规定; 提供[(+for)]; 装备
730	david	'deivid	n. 大卫；戴维（男子名）
731	fun	fʌn	n. 乐趣, 玩笑, 娱乐；vi. 开玩笑；a. 供娱乐用的
732	already	ɒ:l'redi	adv. 已经, 早已
733	green	gri:n	n. 绿色, 绿色颜料；a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的
734	studies		n. 研究；学习；学业（study的复数）
735	close	klәuz	n. 结束, 完结；a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的；vt. 关, 结束, 使靠近, 封闭, 使接近；vi. 关闭, 结束, 靠近；adv. 接近地, 紧密地
736	common	'kɒmәn	a. 通常的, 共同的, 通俗的, 公共的
737	drive	draiv	n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器；vt. 开车, 驱使, 推动, 驾驶；vi. 开车, 猛击, 飞跑
738	specific	spi'sifik	n. 特效药, 特性；a. 特殊的, 明确的, 具有特效的, 特定地, 具体地
739	several	'sevәrәl	a. 几个的, 一些的, 各自的；pron. 几个
740	gold	gәuld	n. 黄金, 钱财, 金块, 金色, 宝贵；a. 金的, 似金的, 金色的, 金制的
741	feb		abbr. 二月（February）
742	living	'liviŋ	n. 生活, 生计, 生存；a. 活的, 逼真的, 现存的
743	sep		九月
744	collection	kә'lekʃәn	n. 收集, 采集, (一批)收藏品, 募捐；[医] 收集; 收集品, 标本
745	called		a. 被呼叫的
746	short	ʃɒ:t	a. 短的, 近的, 矮的, 短期的, 简短的, 少量的；adv. 简短地, 突然；n. 扼要, 短片, 缺乏；vt. 故意少给, 使短路
747	arts	ɑ:ts	n. 文科
748	lot	lɒt	n. 运气, 签, 抽签, 份额, 许多, 一堆；vt. 划分；vi. 抽签, 抓阄
749	ask	ɑ:sk	vi. 问, 要求；vt. 问, 要求, 邀请, 需要
750	display	dis'plei	n. 显示, 陈列, 炫耀, 显示器；vt. 陈列, 显示, 表现, 夸示； 显示
751	limited	'limitid	a. 有限制的, 有限的, 有限责任的；n. 特别快车
752	powered	'pauәd	a. 有动力装置的, 用动力推动的, 产生动力的, 产生...动力的
753	solutions		n. 解决方案；应对措施；溶液剂（solution的复数）
754	means	mi:nz	n. 方法, 手段, 工具, 财产, 收入；[经] 方法, 手段, 工具; 意谓
755	director	di'rektә	n. 主管, 导演, 董事； 指挥仪
756	daily	'deili	a. 每日的, 日常的；adv. 每日地, 日常地；n. 日报
757	beach	bi:tʃ	n. 海滩
758	past	pɑ:st	n. 过去, 昔时, 往事, 早年经历, 过去时；a. 过去的, 结束的, 卸任的, 过去时的；prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)；pass的过去分词
759	natural	'nætʃәrәl	n. 白痴；a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的
760	whether	'hweðә	conj. 是否, 不论；pron. 两个中的哪一个
761	due	dju:	n. 应得的东西, 应付款；a. 到期的, 应得的, 应付的, 约定的
762	et	'i:ti:	[化] 乙基
763	electronics	.ilek'trɒniks	n. 电子学
764	five	faiv	num. 五, 五个
765	upon	ә'pɒn	prep. 在...之上, 迫近, 紧接着
766	period	'piәriәd	n. 时期, 节段, 节, 句点, 学时, 周期；a. 当时特有的, 过去某段时期的；interj. 就是这话, 就是这么回事
767	planning		n. 计划的制订, 策划, 设计, 规划
768	database	'deitәbeis	n. 数据库
769	says	sez	v. 说（第三人称单数）
770	official	ә'fiʃәl	n. 官员, 公务员, 职员；a. 公务的, 官方的, 正式的
771	weather	'weðә	n. 天气, 气象, 处境；a. 迎风的；vt. 使受风吹雨打, 侵蚀, 使风化, 经受住；vi. 风化, 受侵蚀, 经受风雨
772	mar	mɑ:	vt. 损毁, 损伤, 糟蹋；n. 三月
773	land	lænd	n. 陆地, 地面, 地界, 地产, 国土, 土地；vi. 登陆, 登岸, 到达；vt. 使上岸, 使登陆, 使到达； 焊盘
774	average	'ævәridʒ	n. 平均, 平均数, 一般水平, 海损；a. 平均的, 中等的, 平常的；vt. 算出...平均数, 平均做, 均分, 使平衡；vi. 平均为, 呈中间色
775	done	dʌn	a. 完成了的, 好了的；do的过去分词
776	technical	'teknikl	a. 技术上的, 专门的, 工业的, 严格根据法律的；[化] 技巧
777	window	'windәu	n. 窗户, 窗子, 窗口；vt. 给...开窗
778	france	frɑ:ns	n. 法国
779	pro	prәu	adv. 正面地
780	region	'ri:dʒәn	n. 区域, 地带, 地区, 领域, 范围, 区
781	island	'ailәnd	n. 岛, 岛屿, 孤立地区, 安全岛；vt. 使成岛状, 孤立
782	record	ri'kɒ:d	n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片；vt. 记录, 记载, 标明, 将...录音；vi. 记录, 录音, 可被录音；a. 创纪录的
783	direct	di'rekt	a. 直接的, 坦白的；vt. 指示, 指挥, 命令, 导演；vi. 指导, 指挥；adv. 直接地
784	microsoft		n. (美国)微软公司；[电] 微软公司
785	conference	'kɒnfәrәns	n. 会议；[经] 会议, 讨论会, 协商会
786	environment	in'vairәnmәnt	n. 环境, 外界, 围绕
787	records		n. 记录, 录音；唱片, 档案（record的复数形式）
788	st		[化] 磺胺噻唑
789	district	'distrikt	n. 区域, 地方；[医] 地区, 地段
790	calendar	'kælindә	n. 日历, 日程表；vt. 列入表中
791	costs		n. 费用；诉讼费；损失（cost的复数）
792	style	stail	n. 风格, 时尚, 文体, 风度, 字体, 类型；vt. 称呼, (根据新款式)设计, 使合潮流；n. 风格, 样式
793	url		n. the address of a web page on the world wide web
794	front	frʌnt	n. 前面, 开头, 前线, 阵线, 态度；vt. 面对, 朝向, 对抗；vi. 朝向
795	statement	'steitmәnt	n. 陈述, 指令, 声明； 语句
796	update	ʌp'deit	vt. 更新, 使现代化；n. 更新
797	parts	pɑ:ts	n. 零件, 部件
798	aug		abbr. 八月（August）
799	ever	'evә	adv. 曾经, 究竟, 永远
800	downloads		n. 下载（download的复数）
801	early	'ә:li	a. 早的, 早熟的；adv. 很早, 初
802	miles		n. 英里（1英里约合1609米, mile的复数形式）
803	sound	saund	n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡；a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的；adv. 彻底地, 充分地；vi. 发出声音, 回响, 测深, 试探, 听起来；vt. 使发声, 宣告, 听诊, 测...深, 试探
804	resource	ri'sɒ:s	n. 资源, 财力, 办法, 策略, 急智, 消遣
805	present	'preznt	n. 现在, 礼品, 瞄准；a. 现在的, 出席的；vt. 介绍, 引见, 赠送, 提出, 呈现, 上演；vi. 举枪瞄准
806	applications		n. 应用；应用程序；应用软件（application的复数）
807	either	'i:ðә	a. (两者之中)任一的, (两者之中)各一的；pron. (两者之中)任一；conj. 或, 要么
808	ago	ә'gәu	adv. 以前
809	document	'dɒkjumәnt	n. 文件, 公文, 文档；vt. 证明, 为...引证
810	word	wә:d	n. 话, 消息, 词, 诺言, 命令；vt. 用言辞表达
811	works		n. 工程, 工厂, 工事, 活动部件, 机件, 著作, 作品, 善行, 德行；[机] 工厂, 工场
812	material	mә'tiәriәl	n. 材料, 物资, 素材, 布料, 资料；a. 物质的, 肉体的, 重要的
813	bill	bil	n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据；vt. 开帐单, (用招贴)宣布
814	apr		n the month following March and preceding May
815	written	'ritn	a. 书面的, 写成文字的；write的过去分词
816	talk	tɒ:k	n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言；vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话；vt. 讲, 说, 讨论, 谈论
817	federal	'fedәrәl	a. 联邦的, 联合的, 同盟的；[法] 联邦的, 联邦制的, 联盟的
818	hosting	'hәustiŋ	n. 作战；群众或部队的集合
819	rules		n. 规则；条例（rule的复数形式）
820	final	'fainl	n. 期末考试, 结局, 决赛；a. 最后的, 终极的, 决定性的
821	adult	'ædʌlt	n. 成人, 成虫；a. 成年的, 成熟的
822	tickets		n. 票；罚单（ticket的复数）
823	thing	θiŋ	n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征
824	centre	'sentә	n. 中心, 中心点, 中锋；a. 中央的, 位在正中的；vt. 集中, 定中心；vi. 居中
825	requirements		n. 调整需要量, 必需品；要求（requirement的复数）
826	via	vaiә	prep. 经由, 经过, 通过；[医] 病毒灭活剂
827	cheap	tʃi:p	a. 便宜的, 不值钱的, 可鄙的；adv. 便宜地
828	nude	nju:d	a. 裸的, 肉色的, 无装饰的；n. 裸体画, 裸体
829	kids		n. 小山羊；儿童（kid的复数）
830	finance	fai'næns	n. 财政, 财务；vt. 供给...经费, 负担经费；vi. 筹措资金
831	true	tru:	a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的；n. 真实, 准确；adv. 真实地, 准确地
832	minutes		n. 会议记录；[法] 备忘录, 会议记录, 审判记录
833	else	els	a. 别的, 其他的；adv. 另外, 否则, 不然
834	mark	mɑ:k	n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线；vt. 做标记于, 留意, 打分数, 表明, 标志, 记录；vi. 作记号, 记得分； 标记; 传号
835	third	θә:d	num. 第三, 三分之一；[机] 第三; 第三的
836	rock	rɒk	n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐；vt. 摇摆, 摇动, 使摇晃, 使动摇；vi. 摇, 摇动
837	gifts		n. 礼品, 赠品；礼物；天赋（gift的复数形式）
838	europe	'juәrәp	n. 欧洲
839	reading	'ri:diŋ	n. 阅读, 知识, 读物；a. 阅读的
840	topics		abbr. 总联机程序和信息控制系统（Total On-line Program and Information Control System）
841	bad	bæd	a. 坏的；n. 坏；adv. 坏地
842	individual	.indi'vidʒuәl	n. 人, 个人, 个体；a. 个别的, 个人的, 独特的
843	tips		n. 秘诀, 技巧；小贴士, 小窍门
844	plus	plʌs	prep. 加上, 加, 外加；a. 正的, 附加的；n. 正号, 加号, 附加额, 正数, 增益
845	auto	'ɒ:tәu	n. 汽车；pref. 表示"自己"、"本身", 表示"自己的", 表示"自动的"
846	cover	'kʌvә	n. 盖子, 封面, 藉口；vt. 覆盖, 掩饰, 保护, 掩护, 包括；vi. 覆盖
847	usually	'ju:ʒuәli	adv. 通常, 大抵
848	edit	'edit	vt. 编辑, 编校, 修订, 剪辑； DOS外部命令:该命令是一个用于编辑文本文件的全屏幕编辑程序
849	together	tә'geðә	adv. 一起, 共同, 彼此
850	videos		n. 视频文件；影像资料（video的复数）
851	percent	pә'sent	n. 百分比, 百分数, 部分；[机] 百分率
852	fast	fɑ:st	a. 快速的, 紧的；adv. 很快地, 紧紧地, 彻底地；n. 绝食, 斋戒；vi. 绝食, 斋戒
853	function	'fʌŋkʃәn	n. 官能, 职务, 功能, 函数；vi. 活动, 运行, 行使职责
854	fact	fækt	n. 事实, 真实性, 真相, 细节, 论据
855	unit	'ju:nit	n. 单位, 分队, 部队, 单元, 部件, 装置；a. 单位的, 单元的； 部件
856	getting	'^etiŋ	n. 采煤, 采掘；获得
857	global	'glәubl	a. 通用的, 全球的, 球形的, 综合的, 普遍的
858	tech	tek	n. 技术学院或学校
859	meet	mi:t	n. 会, 集会；a. 适宜的, 合适的；vt. 遇见, 引见, 认识, 满足, 对付；vi. 相遇, 接触
860	far	fɑ:	a. 远的, 久远的, 遥远的；adv. 甚远地, 很, 到很深的程度, 到很远的距离
861	economic	.i:kә'nɒmik	a. 经济上的, 实用的, 节省的；[经] 经济的
862	en	en	n. 字母N, (铅字)半方；prep. 在...中, 作为
863	player	'pleiә	n. 竞赛者, 上场队员, 游戏者, 演员；[经] 交易者
864	projects		n. 项目；企划；工程（project的复数）
865	lyrics		n. 歌词
866	often	'ɒ:fn	adv. 时常, 常常
867	subscribe	sәb'skraib	vt. 捐献, 签署；vi. 赞成, 同意, 捐款, 预订, 认购
868	submit	sәb'mit	vt. 使服从, 使受到, 委托, 提交, 认为；vi. 屈服, 服从
869	germany	'dʒә:mәni	n. 德国
870	amount	ә'maunt	n. 总数, 总额；vi. 总计, 等同
871	watch	wɒtʃ	n. 观察, 手表, 看守, 守护, 监视, 值班人；vt. 看, 注视, 照顾, 看守, 守护, 监视；vi. 观看, 注视, 守侯
872	included	in'klu:did	a. 包括在内
873	feel	fi:l	vt. 感觉, 觉得, 触摸, 以为；vi. 有知觉, 摸索, 同情；n. 感觉, 觉得, 触摸
874	though	ðәu	adv. 然而, 可是；conj. 虽然, 纵然
875	bank	bæŋk	n. 银行, 堤, 岸；[医] 库
876	risk	risk	n. 冒险, 危险, 保险额；vt. 冒...的危险, 冒险干
877	thanks		n. 感谢, 谢意, 谢忱；interj. 谢谢, 谢谢你
878	everything	'evriθiŋ	pron. 每件事物, 所有事物
879	deals		n. 协约；份额；交易（deal的复数形式）
880	various	'vєәriәs	a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的；[法] 不同的, 种种的, 各式各样的
881	words		n. 言语；话语；字（word的复数）
882	linux		n. 一个个人电脑上免费的UNIX操作系统
883	jul		七月
884	production	prә'dʌkʃәn	n. 制造, 生产, 产物；[医] 产生, 生成
885	commercial	kә'mә:ʃәl	a. 商业的, 商用的, 商品化的；n. 商业广告节目
886	james	dʒeimz	n. 詹姆斯（姓氏, 男子名）；[圣]《雅各书》
887	weight	weit	n. 重, 重量, 体重, 砝码, 重大, 影响, 力量；vt. 加重量于, 压迫, 使加权, 称重量
888	town	taun	n. 城镇, 市, 镇；[法] 城镇, 城市, 闹市
889	heart	hɑ:t	n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿；vt. 鼓励
890	advertising	'ædvәtaiziŋ	n. 广告业, 广告；a. 广告的
891	received	ri'si:vd	a. 被一般承认的, 公认的
892	choose	tʃu:z	vt. 选择, 宁愿, 欲；vi. 作出选择, 愿意
893	treatment	'tri:tmәnt	n. 治疗, 待遇, 处理；[医] 疗法, 治疗; 处理
894	newsletter	'nju:z.letә	n. 时事通讯, 业务通讯, 时事传报；[法] 时事通讯, 时事信札
895	archives	'ɑ:kaivz	n. 档案, 档案室；[法] 公文档案, 案卷, 档案保管处
896	points		n. 转轨器, 道岔
897	knowledge	'nɒlidʒ	n. 知识, 学问, 认识, 知道
898	magazine	.mægә'zi:n	n. 杂志, 仓库, 弹盒, 胶卷盒
899	error	'erә	n. 错误, 过失, 失误, 误差
900	camera	'kæmәrә	n. 照相机, 摄影机, 密谈室, 暗箱
901	jun	dʒʌn	六月
902	girl	gә:l	n. 女孩, 少女, 女佣
903	currently	'kʌrәntli	adv. 现在, 当前, 一般, 普通
904	construction	kәn'strʌkʃәn	n. 建筑, 构造, 建筑物；[化] 施工
905	toys		n. 玩具（toy的复数）
906	registered	'redʒistәd	a. 注册的, 登记过的, 记名的, 挂号的；[法] 已注册的, 已登记的, 挂号的
907	clear	kliә	a. 清楚的, 明确的, 澄清的；adv. 清晰地；vt. 澄清, 清除障碍；vi. 放晴, 变清澈；n. 空隙
908	golf	gɒlf	n. 高尔夫球；vi. 打高尔夫球
909	receive	ri'si:v	vt. 收到, 接到, 得到, 接待, 迎接, 承受；vi. 收到, 会客
910	domain	dәu'mein	n. 领域, 领土, 产业, 范围
911	methods		n. 方法, 方式；研究方法（method的复数）
912	chapter	'tʃæptә	n. 章, 篇, 重要章节； 段
913	makes		v. 做, 制作（make的第三人称单数）
914	protection	prә'tekʃәn	n. 保护, 防卫, 贸易保护制度
915	policies		n. 政策；保险单（policy的复数）
916	loan	lәun	n. 贷款, 借出；v. 借, 供应货款, 借给
917	wide	waid	a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的；adv. 广阔地, 遍及各处地, 广泛地；n. 大千世界
918	beauty	'bju:ti	n. 美, 美人
919	manager	'mænidʒә	n. 经理, 管理员, 管理器
920	india	'indjә	n. 印度
921	position	pә'ziʃәn	n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地；vt. 安置, 决定...的位置
922	taken	'teikәn	take的过去分词
923	sort	sɒ:t	n. 种类, 方式, 品质, 态度, 举止；vt. 分类, 排序, 挑选；vi. 交往, 协调； DOS外部命令:从标准输入设备接收数据, 整个数据输入完后；对它以行为单位进行排序, 然后在标准输出设备上输出
924	listings		表
925	models	'mɒdlz	n. 模型( model的名词复数 ); 模特儿; 模式; 典型
926	michael	'maikl	n. 迈克尔（男子名）
927	known	nәun	a. 已知的, 有名的；know的过去分词
928	half	hɑ:f	n. 一半, 半场, 不完全；a. 一半的, 不完全的, 部分的, 半场的；adv. 一半地, 部分地, 在某种程度上地, 几乎
929	cases		n. 案例；箱；情况（case的复数形式）
930	step	step	n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级；vt. 踏, 以步测量, 跨步, 使成阶梯状；vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
931	engineering	.endʒi'niәriŋ	n. 工程学, 工程, 操纵；[化] 机器; 机器学
932	florida	'flɒridә	n. 佛罗里达州
933	simple	'simpl	a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的；n. 出身低微者, 傻子
934	quick	kwik	a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的；adv. 快；n. 新长出的肉, 要害, 核心, 感觉敏锐部位
935	none	nʌn	adv. 一点也不, 毫不；pron. 没有人, 无一物, 并无一个；a. 没有的
936	wireless	'waiәlis	n. 无线电；a. 无线的, 无线电的
937	license	'laisns	n. 执照, 许可证, 特许；vt. 许可, 特许
938	paul	pɔ:l	n. 保罗（男子名）
939	friday	'fraidi	n. 星期五
940	lake	leik	n. 湖, 池, 色淀；v. (使)血球溶解
941	whole	hәul	n. 全部, 全体, 整体, 完全之体系；a. 所有的, 完整的, 完全的, 纯粹的
942	annual	'ænjuәl	n. 年刊, 年报；a. 每年的, 一年一次的, 全年的, 一年生的
943	published		a. 已发布的
944	later	'leitә	adv. 以后, 随后
945	basic	'beisik	n. 基本原理, 要素, 基本规律；a. 基本的, 碱性的；(计算机)BASIC语言
946	sony		n. 索尼（日本电子娱乐公司）
947	shows		n. 秀场, 表演（show的复数）
948	corporate	'kɒ:pәrit	a. 社团的, 合伙的, 公司的；[经] 团体的, 法人的, 社团的
949	google		谷歌；搜索引擎技术；谷歌公司
950	church	tʃә:tʃ	n. 教堂, 礼拜, 教会；vt. 使人接受宗教仪式；a. 教堂的
951	method	'meθәd	n. 方法, 办法, 条理, 秩序；[医] [方]法
952	purchase	'pә:tʃәs	n. 购买, 购买品, 紧握, 绞辘；vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)
953	customers		n. 客户；顾客（customer的复数）
954	active	'æktiv	a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的；n. 主动语态, 积极分子
955	response	ri'spɒns	n. 反应, 回答, 响应
956	practice	'præktis	n. 实践, 练习, 实行, 惯例, 习惯, 开业；v. 实践, 实行, 练习, 实习, 业务
957	hardware	'hɑ:dwєә	n. 硬件, 五金器具, 零件
958	figure	'figә	n. 数字, 价格, 图形, 形状；vt. 描绘, 表示, 演算, 认为；vi. 计算, 出现, 估计
959	materials		n. 材料；材料费；材料科学；材质（material的复数）
960	fire	'faiә	n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情；vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇；vi. 着火, 烧火, 开枪, 射击, 激动
961	holiday	'hɒlәdi	n. 假日, 假期, 节日；vi. 度假
962	chat	tʃæt	n. 闲谈；vi. 闲谈, 聊天
963	enough	i'nʌf	n. 充足, 够, 很多；a. 充足的, 足够；adv. 足够；interj. 够了
964	designed	di'zaind	a. 故意的, 有计划的, 特意的
965	along	ә'lɒŋ	adv. 平行地, 向前；prep. 沿着
966	among	ә'mʌŋ	prep. 在...之中
967	death	deθ	n. 死亡；[医] 死亡
968	writing	'raitiŋ	n. 书写, 著作, 笔迹, 作品；[医] 书写
969	speed	spi:d	n. 速率, 速度, 迅速；vi. 加速, 超速, 快进；vt. 快速传送, 促进, 使加速
970	html		n a set of tags and rules (conforming to SGML) for using them in developing hypertext documents
971	countries		国家（country的复数）
972	loss	lɒs	n. 损失, 遗失, 失败, 输, 错过, 伤亡；[化] 损失; 损耗
973	face	feis	n. 脸, 面容, 正面, 外观；vt. 面对, 朝, 正视, 面临；vi. 朝, 向
974	brand	brænd	n. 商标, 牌子, 烙印；vt. 打烙印于
975	discount	'diskaunt	n. 折扣, 贴现率；vt. 打折扣；vi. 贴现
976	higher	'haiә	[经] 上扬
977	effects		n. 财物, 个人财产；[经] 动产, 财物
978	created	kri: 'eitid	a. 创造的；[电] 创造的, 建立的
979	remember	ri'membә	vt. 记得, 回忆起, 记住, 铭记, 纪念；vi. 记得
980	standards		n. 标准；规格（standard的复数）
981	oil	ɒil	n. 油, 石油, 油画颜料；vt. 涂油于, 使融化成油状, 加油于；vi. 加燃油, 融化
982	bit	bit	n. 少量, 马嚼子, 辅币；vt. 给马上嚼子, 控制；bite的过去式和过去分词
983	yellow	'jelәu	n. 黄色；a. 黄色的
984	political	pә'litikl	a. 政治的, 政治上的, 政党的, 从事政治的；[法] 政治的, 政治上的, 党派政治的
985	increase	in'kri:s	n. 增加, 增进, 利益；vt. 增加, 加大；vi. 增加, 繁殖
986	advertise	'ædvәtaiz	vt. 做广告, 通知, 公布；vi. 做广告
987	kingdom	'kiŋdәm	n. 王国, 领域；[医] 界(动物,植物,矿物)
988	base	beis	n. 底部, 垒, 基础, 基地；vt. 以...作基础；a. 卑鄙的, 低劣的
989	near	niә	a. 近的, 近亲的, 近似的；adv. 接近, 亲近；prep. 靠近, 近似于；v. 接近, 走近
990	environmental	in.vaiәrәn'mentәl	a. 周围的, 环境的；[经] 环境的, 环保的
991	thought	θɒ:t	n. 想法, 思想, 思维, 关心, 挂念；think的过去式和过去分词
992	stuff	stʌf	n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话；vt. 装填；vi. 狼吞虎咽
993	french	frentʃ	n. 法国人, 法文, 法式；a. 法国的, 法国人的, 法语的
994	storage	'stɒ:ridʒ	n. 存储器, 储藏, 保管, 库存, 仓库； 存储
995	oh	әu	interj. (表示惊讶、恐怖、赞叹)哦
996	japan	dʒә'pæn	n. 日本；[化] 天然漆; 大漆; 漆器
997	doing	'du:iŋ	n. 行为, 活动
998	loans		n. 借贷；贷款（loan的复数形式）
999	shoes		n. 鞋子（shoe的复数）
1000	entry	'entri	n. 登录, 条目, 进入, 入口, 报关
1001	stay	stei	n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索；vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定；vi. 停留, 逗留, 暂停, 坚持, 中止
1002	nature	'neitʃә	n. 自然, 大自然, 本性, 性格, 性质；[医] 自然, 大自然; 本性, 性能
1003	orders		n. 牧师职, 神职
1004	availability	ә.veilә'biliti	n. 有效性, 可利用性, 可利用的人； 可用性
1005	africa	'æfrikә	n. 非洲
1006	summary	'sʌmәri	n. 摘要, 概要；a. 摘要的, 简略的； 概要
1007	turn	tә:n	n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折；vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通；vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手
1008	mean	mi:n	a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的；vt. 意谓, 想要, 意欲, 预定；vi. 用意, 有意义；n. 平均数, 中间, 中庸
1009	growth	grәuθ	n. 生长, 栽培, 增长
1010	notes		n. 票据；注释, 说明（note复数）
1011	agency	'eidʒәnsi	n. 代理机构, 经销商, 中介；[化] 办事处
1012	king	kiŋ	n. 国王, 君主；vt. 使...成为君主；vi. 君临, 统治
1013	monday	'mʌndi	n. 星期一
1014	european	.juәrә'pi:әn	n. 欧洲人；a. 欧洲的, 欧洲人的
1015	activity	æk'tiviti	n. 活动, 行动, 活跃, 活力
1016	copy	'kɒpi	n. 副本, 摹仿, 一册；v. 复印, 抄袭, 复制； 复制; DOS内部命令:复制文件；将几个文件合并成一个文件, 以及将文件传至外设或在设备之间传送
1017	although	ɒ:l'ðou	conj. 虽然, 尽管
1018	drug	drʌg	n. 药, 麻药, 麻醉药；vi. 吸毒；vt. 使服麻醉药, 使麻木
1019	pics		n a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement；n a representation of a person or scene in the form of a print or transparent…
1020	western	'westәn	n. 西方人, 西部片, 西部小说；a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的
1021	income	'inkʌm	n. 收入, 收益, 流入；[经] 收益
1022	force	fɒ:s	n. 力量, 武力, 势力, 影响力, 军队, 力, 效力；vt. 强迫, 强夺, 推动, 提高； 强制
1023	cash	kæʃ	n. 现金；vt. 兑现
1024	employment	im'plɒimәnt	n. 雇用, 职业, 工作；[经] 职业, 雇用, 职工招请
1025	overall	'әuvәrɒ:l	a. 全部的, 全体的, 从头至尾的, 一切在内的；adv. 从头到尾, 总的说来；n. 罩衫, 工作服
1026	bay	bei	n. 海湾, 狗吠声, 月桂；vt. 吠, 使走投无路；vi. 吠
1027	river	'rivә	n. 河, 江；[法] 河流, 江河, 内河
1028	commission	kә'miʃәn	n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事；vt. 委任, 委托制作, 使服役
1029	ad	æd	n. 广告
1030	package	'pækidʒ	n. 包裹, 套装软件, 包, 包装用物, 程序包；vt. 包装, 打包；a. 一揽子的
1031	contents	'kɒntents	n. 目录
1032	seen	si:n	see的过去分词
1033	players		n. 队员, 参与者；迷你音碟机, 雷射唱盘（player的复数形式）；玩家（player的复数形式）
1034	engine	'endʒin	n. 引擎, 发动机, 机车；vt. 安装发动机于
1035	port	pɒ:t	n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义；vt. 左转舵, 持(枪)；vi. 左转舵
1036	album	'ælbәm	n. 粘贴簿, 唱片套；[医] 白色物
1037	regional	'ri:dʒәnәl	a. 地方的, 地域性的；[医] 区的, 部位的
